,이름,PIP,birth,LSO,Go/Fo,Qs%,득점지원,구원방어율,Rel%,WPA
46,이영하,17.6,1997-11-01,35.9,1.26,9.1,6.40,,,
47,이재학,18.1,1990-10-04,18.5,0.75,23.5,5.21,,,
48,이태양,15.9,1990-07-03,16.1,0.71,28.6,3.64,,,
49,오승환,,1982-07-15,,,,,2.03,24.2,4.31
50,류진욱,,1996-10-10,,,,,2.08,45.0,0.55
51,김강률,,1988-08-28,,,,,2.09,42.1,1.79
52,강재민,,1997-04-03,,,,,2.13,36.1,1.10
53,김대유,,1991-05-08,,,,,2.13,25.6,1.86
54,고우석,,1998-08-06,,,,,2.17,27.3,-0.20
55,정해영,,2001-08-23,,,,,2.20,28.1,2.88
56,정우영,,1999-08-19,,,,,2.22,28.9,1.94
57,박시영,,1989-03-10,,,,,2.40,31.6,-0.07
58,김재윤,,1990-09-16,,,,,2.42,34.5,1.38
59,최성훈,,1989-10-11,,,,,2.43,43.2,-0.21
60,진해수,,1986-06-26,,,,,2.44,13.6,-0.19
61,조현우,,1994-03-30,,,,,2.61,16.7,0.71
62,홍건희,,1992-09-29,,,,,2.79,37.8,0.60
63,최준용,,2001-10-10,,,,,2.85,20.0,2.27
64,김민수,,1992-07-24,,,,,2.89,40.0,-0.19
65,이정용,,1997-03-26,,,,,2.97,20.5,1.12
66,김태훈,,1992-03-02,,,,,3.22,21.4,1.35
67,김성민,,1994-04-26,,,,,3.28,41.4,0.05
68,주권,,1995-05-31,,,,,3.31,34.5,0.64
69,우규민,,1985-01-21,,,,,3.31,30.8,-0.84
70,서진용,,1992-10-02,,,,,3.34,40.0,-1.92
71,조상우,,1994-09-04,,,,,3.48,37.5,1.02
72,김재웅,,1998-10-22,,,,,3.54,40.9,0.82
73,김원중,,1993-06-14,,,,,3.59,28.6,2.19
74,임창민,,1985-08-25,,,,,3.79,35.7,0.23
75,이승진,,1995-01-07,,,,,3.91,22.7,0.25
76,홍성민,,1989-07-15,,,,,3.92,30.0,-0.06
77,김명신,,1993-11-29,,,,,4.13,29.6,-0.15
78,임정호,,1990-04-16,,,,,4.15,14.3,-0.67
79,원종현,,1987-07-31,,,,,4.25,60.0,-1.57
80,구승민,,1990-06-12,,,,,4.33,21.7,0.31
81,윤호솔,,1994-07-15,,,,,4.62,35.7,0.62
82,양현,,1992-08-23,,,,,4.69,39.1,-0.52
83,홍상삼,,1990-02-13,,,,,4.75,30.4,0.40
84,이준영,,1992-08-10,,,,,4.77,34.3,-0.50
85,김종수,,1994-06-03,,,,,4.82,27.8,-0.21
86,최지광,,1998-03-13,,,,,4.91,43.8,0.14
87,김태훈,,1990-05-19,,,,,4.97,20.5,-0.06
88,심창민,,1993-02-01,,,,,5.08,28.2,-0.43
89,김상수,,1988-01-02,,,,,5.09,11.1,-0.04
90,김범수,,1995-10-03,,,,,5.12,21.2,-1.19
91,김성진,,1997-11-14,,,,,5.31,53.3,-1.01
92,정우람,,1985-06-01,,,,,5.64,21.4,-1.27
93,박진태,,1994-10-19,,,,,5.95,70.6,-1.09
